Date : 2020-09-08 16:50:16
Directory : c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master
Total : 145 files,  28544 codes, 204 comments, 528 blanks, all 29276 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.e2e-spec.ts                                                      | TypeScript |         18 |          1 |          5 |         24 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\src\app.po.ts                                                            | TypeScript |          9 |          0 |          3 |         12 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\e2e\tsconfig.json                                                            | JSON       |         13 |          0 |          1 |         14 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\karma.conf.js                                                                | JavaScript |         29 |          2 |          2 |         33 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package-lock.json                                                            | JSON       |     23,516 |          0 |          1 |     23,517 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\package.json                                                                 | JSON       |        111 |          0 |          1 |        112 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.html                  | HTML       |         10 |          0 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.component.ts                    | TypeScript |         37 |          0 |          1 |         38 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.module.ts                       | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\ConfirmDialog\confirm-dialog.service.ts                      | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.html                  | HTML       |          9 |          1 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.component.ts                    | TypeScript |         40 |          0 |          1 |         41 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.module.ts                       | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Dialogs\SuccessDialog\success-dialog.service.ts                      | TypeScript |         26 |          0 |          4 |         30 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Farm.ts                                                       | TypeScript |         16 |          0 |          1 |         17 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\FarmTypes.ts                                                  | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\InsuranceProviders.ts                                         | TypeScript |         19 |          0 |          2 |         21 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\Provinces.ts                                                  | TypeScript |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\Models\register.ts                                                   | TypeScript |         10 |          0 |          1 |         11 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app-routing.module.ts                                                | TypeScript |         18 |          0 |          4 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.html                                                   | HTML       |         45 |          0 |          3 |         48 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.scss                                                   | SCSS       |         35 |          0 |          5 |         40 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.spec.ts                                                | TypeScript |         31 |          0 |          5 |         36 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.component.ts                                                     | TypeScript |          9 |          0 |          2 |         11 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.module.ts                                                        | TypeScript |         94 |          0 |          3 |         97 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.model.ts                                                | TypeScript |         13 |          0 |          0 |         13 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\app.settings.ts                                                      | TypeScript |         18 |          0 |          3 |         21 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.html                                             | HTML       |         53 |          0 |          1 |         54 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.scss                                             | SCSS       |         26 |          0 |          5 |         31 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.spec.ts                                          | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.component.ts                                               | TypeScript |        126 |          0 |         27 |        153 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farm.module.ts                                                  | TypeScript |         49 |          0 |          4 |         53 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\farm\farmService.service.ts                                          | TypeScript |         45 |          1 |         12 |         58 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.html                 | HTML       |         52 |          2 |          3 |         57 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.scss                 | SCSS       |          0 |          0 |          2 |          2 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.spec.ts              | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance-provider.component.ts                   | TypeScript |         70 |          0 |         13 |         83 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\insurance-provider\insurance.module.ts                               | TypeScript |         41 |          0 |          4 |         45 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.html                                           | HTML       |         28 |          0 |          1 |         29 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.scss                                           | SCSS       |          8 |          0 |          4 |         12 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.spec.ts                                        | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.component.ts                                             | TypeScript |         66 |          2 |         13 |         81 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\login\login.module.ts                                                | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.html                                         | HTML       |          1 |          0 |          1 |          2 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.scss                                         | SCSS       |          0 |          0 |          1 |          1 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.spec.ts                                      | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\logout\logout.component.ts                                           | TypeScript |         19 |          1 |          7 |         27 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\mainService.service.ts                                               | TypeScript |         86 |          0 |         14 |        100 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.html                                       | HTML       |         33 |         15 |          1 |         49 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.scss                                       | SCSS       |          0 |          0 |          2 |          2 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.spec.ts                                    | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.component.ts                                         | TypeScript |        117 |         23 |         23 |        163 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\profile\profile.module.ts                                            | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.html                                     | HTML       |         53 |          0 |          1 |         54 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.scss                                     | SCSS       |          0 |          0 |          2 |          2 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.spec.ts                                  | TypeScript |         20 |          0 |          6 |         26 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.component.ts                                       | TypeScript |         91 |         37 |         22 |        150 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\register\register.module.ts                                          | TypeScript |         21 |          0 |          3 |         24 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.html           | HTML       |         10 |          0 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.component.ts             | TypeScript |         37 |          0 |          1 |         38 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.module.ts                | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ConfirmDialog\confirm-dialog.service.ts               | TypeScript |         32 |          0 |          4 |         36 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.html       | HTML       |          9 |          1 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.component.ts         | TypeScript |         37 |          0 |          1 |         38 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.module.ts            | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\DuplicateDialog\duplicate-dialog.service.ts           | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.html               | HTML       |          9 |          1 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.component.ts                 | TypeScript |         37 |          0 |          1 |         38 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.module.ts                    | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\ErrorDialog\error-dialog.service.ts                   | TypeScript |         26 |          0 |          2 |         28 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.html           | HTML       |          9 |          1 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.component.ts             | TypeScript |         40 |          0 |          1 |         41 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.module.ts                | TypeScript |         21 |          0 |          1 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\Dialogs\SuccessDialog\success-dialog.service.ts               | TypeScript |         26 |          0 |          4 |         30 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\shared\shared.module.ts                                              | TypeScript |        106 |          0 |          2 |        108 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.html            | HTML       |         70 |          0 |          0 |         70 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.scss            | SCSS       |         21 |          0 |          0 |         21 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\applications\applications.component.ts              | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.html                | HTML       |         14 |          0 |          2 |         16 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.scss                | SCSS       |         19 |          0 |          0 |         19 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\breadcrumb\breadcrumb.component.ts                  | TypeScript |         69 |          0 |          8 |         77 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.html                | HTML       |         27 |          3 |          0 |         30 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.scss                | SCSS       |         10 |          0 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\flags-menu\flags-menu.component.ts                  | TypeScript |         17 |          0 |          5 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.html | HTML       |         30 |          0 |          8 |         38 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.scss | SCSS       |         32 |          0 |          0 |         32 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\horizontal-menu\horizontal-menu.component.ts   | TypeScript |         41 |          0 |          5 |         46 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.model.ts                                  | TypeScript |         10 |          0 |          0 |         10 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.service.ts                                | TypeScript |         60 |          0 |         11 |         71 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\menu.ts                                        | TypeScript |        114 |          0 |          9 |        123 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.html     | HTML       |         29 |          0 |          1 |         30 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.scss     | SCSS       |         45 |          0 |          4 |         49 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\menu\vertical-menu\vertical-menu.component.ts       | TypeScript |         45 |          0 |          6 |         51 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.html                    | HTML       |         68 |          2 |          0 |         70 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.scss                    | SCSS       |         50 |          0 |          0 |         50 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.component.ts                      | TypeScript |         35 |          0 |          7 |         42 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\messages\messages.service.ts                        | TypeScript |        125 |          0 |          8 |        133 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.html                      | HTML       |         12 |          0 |          6 |         18 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.scss                      | SCSS       |         48 |          0 |          4 |         52 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\sidenav\sidenav.component.ts                        | TypeScript |         36 |          0 |          5 |         41 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.html                  | HTML       |         28 |          2 |          3 |         33 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.scss                  | SCSS       |         17 |          0 |          0 |         17 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\components\user-menu\user-menu.component.ts                    | TypeScript |         13 |          0 |          4 |         17 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\directives\detect-scroll\detect-scroll.directive.ts            | TypeScript |         22 |          0 |          7 |         29 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\directives\directives.module.ts                                | TypeScript |         15 |          0 |          2 |         17 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\pagination\pagination.pipe.ts                            | TypeScript |         19 |          0 |          3 |         22 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\pipes.module.ts                                          | TypeScript |         30 |          0 |          3 |         33 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\profilePicture\profilePicture.pipe.ts                    | TypeScript |          7 |          0 |          2 |          9 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\chat-person-search.pipe.ts                        | TypeScript |         14 |          0 |          2 |         16 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\mail-search.pipe.ts                               | TypeScript |         18 |          0 |          3 |         21 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\search\user-search.pipe.ts                               | TypeScript |         17 |          0 |          1 |         18 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\pipes\truncate\truncate.pipe.ts                                | TypeScript |         10 |          0 |          1 |         11 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_base.scss                                              | SCSS       |        463 |          4 |         12 |        479 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_libs-override.scss                                     | SCSS       |         97 |          3 |         13 |        113 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_mixins.scss                                            | SCSS       |         14 |          0 |          0 |         14 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_rtl.scss                                               | SCSS       |        140 |          0 |         11 |        151 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_theme-reset.scss                                       | SCSS       |        118 |          4 |          6 |        128 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_theme.scss                                             | SCSS       |         35 |          0 |          1 |         36 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\_variables.scss                                         | SCSS       |         12 |          1 |          5 |         18 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_blue-dark.scss                                   | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_green-dark.scss                                  | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_indigo-light.scss                                | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_pink-dark.scss                                   | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_red-light.scss                                   | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\styles\skins\_teal-light.scss                                  | SCSS       |          4 |          0 |          1 |          5 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\app-animation.ts                                         | TypeScript |         49 |          0 |          2 |         51 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\app-validators.ts                                        | TypeScript |         16 |          0 |          2 |         18 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\app\theme\utils\custom-overlay-container.ts                              | TypeScript |         11 |          0 |          1 |         12 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\assets\i18n\en.json                                                      | JSON       |         12 |          0 |          1 |         13 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\environments\environment.prod.ts                                         | TypeScript |          3 |          0 |          1 |          4 |
| c:\Users\370-User\Desktop\Use this for 370\Electron\370InsuranceApp-master\src\environments\environment.ts                                              | TypeScript |          3 |         11 |          3 |         17 |
